Time	EMG
3.664	0.269652
3.665	0.0701765
3.666	-0.167588
3.667	-0.227898
3.668	-0.148419
3.669	0.0127019
3.67	0.167256
3.671	0.0852184
3.672	-0.0292488
3.673	-0.0566039
3.674	0.0761009
3.675	0.161058
3.676	0.0701901
3.677	-0.192594
3.678	-0.380338
3.679	-0.137802
3.68	0.386545
3.681	0.320739
3.682	-0.0237934
3.683	-0.142109
3.684	-0.106727
3.685	-0.0581399
3.686	-0.0123235
3.687	0.0968928
3.688	0.0563606
3.689	-0.0359075
3.69	-0.0437455
3.691	-0.0326936
3.692	-0.00478607
3.693	0.0411642
3.694	0.026513
3.695	-0.0171448
3.696	0.0105307
3.697	0.099353
3.698	0.0623542
3.699	-0.0886471
3.7	-0.176846
3.701	-0.107241
3.702	0.0720657
3.703	0.119655
3.704	0.117406
3.705	-0.00232531
3.706	-0.0921546
3.707	0.0391939
3.708	0.0763338
3.709	-0.00636525
3.71	-0.109816
3.711	-0.166774
3.712	-0.0968686
3.713	0.0277534
3.714	0.190723
3.715	0.216609
3.716	0.0692904
3.717	-0.0666666
3.718	-0.119517
3.719	-0.050331
3.72	-0.0230945
3.721	-0.158583
3.722	-0.171238
3.723	0.102064
3.724	0.265898
3.725	0.246882
3.726	-0.0233492
3.727	-0.241807
3.728	-0.158173
3.729	0.0151615
3.73	0.160096
3.731	0.120056
3.732	-0.0451567
3.733	-0.160683
3.734	-0.140068
3.735	-0.0293239
3.736	0.116293
3.737	0.184877
3.738	0.0959557
3.739	-0.0555308
3.74	-0.0898052
3.741	-0.044952
3.742	-0.00602702
3.743	-0.0202202
3.744	-0.0206432
3.745	-0.00309103
3.746	0.0337027
3.747	0.0734795
3.748	-0.0286823
3.749	-0.0871323
3.75	-0.011058
3.751	0.0762631
3.752	0.0869003
3.753	0.089694
3.754	-0.000163827
3.755	-0.20064
3.756	-0.219377
3.757	0.0110136
3.758	0.233114
3.759	0.157808
3.76	-0.058024
3.761	-0.145025
3.762	-0.0418098
3.763	0.106179
3.764	0.108926
3.765	-0.0620498
3.766	-0.150109
3.767	-0.0117923
3.768	0.0900595
3.769	0.11102
3.77	0.0840927
3.771	-0.116471
3.772	-0.251525
3.773	-0.112623
3.774	0.179069
3.775	0.259879
3.776	0.0555548
3.777	-0.129694
3.778	-0.0899298
3.779	0.0545428
3.78	0.0952826
3.781	-0.0682138
3.782	-0.141854
3.783	-0.132248
3.784	0.00616549
3.785	0.148634
3.786	0.140446
3.787	0.144922
3.788	0.0587185
3.789	-0.126842
3.79	-0.201432
3.791	-0.162839
3.792	-0.0364927
3.793	0.111563
3.794	0.134057
3.795	0.0676131
3.796	0.0706782
3.797	0.084082
3.798	-0.077156
3.799	-0.192543
3.8	-0.122466
3.801	0.0292372
3.802	0.0853652
3.803	0.0963548
3.804	0.0572733
3.805	-0.113016
3.806	-0.109771
3.807	0.137525
3.808	0.184805
3.809	0.0275187
3.81	-0.166323
3.811	-0.235416
3.812	-0.205766
3.813	0.13898
3.814	0.355841
3.815	0.119874
3.816	-0.0573931
3.817	-0.0901076
3.818	-0.0774182
3.819	0.0066351
3.82	-0.00632767
3.821	-0.12141
3.822	-0.158326
3.823	0.0442496
3.824	0.337365
3.825	0.30261
3.826	-0.174585
3.827	-0.387391
3.828	-0.108926
3.829	0.230442
3.83	0.0823902
3.831	-0.135608
3.832	0.0419914
3.833	0.117955
3.834	0.0565466
3.835	-0.0355312
3.836	0.0429081
3.837	-0.0383409
3.838	-0.273898
3.839	-0.271732
3.84	-0.041674
3.841	0.398138
3.842	0.586997
3.843	0.235625
3.844	-0.299787
3.845	-0.542001
3.846	-0.363871
3.847	-0.133349
3.848	0.107743
3.849	0.406508
3.85	0.43894
3.851	0.144037
3.852	-0.0200913
3.853	-0.119358
3.854	-0.281472
3.855	-0.471948
3.856	-0.480216
3.857	0.203506
3.858	0.779854
3.859	0.563298
3.86	-0.0832585
3.861	-0.413596
3.862	-0.278703
3.863	-0.0300261
3.864	0.128042
3.865	-0.0170951
3.866	-0.195953
3.867	-0.0851626
3.868	0.267541
3.869	0.135138
3.87	-0.0138565
3.871	0.0247803
3.872	0.0681182
3.873	0.109318
3.874	-0.114642
3.875	-0.109883
3.876	-0.173972
3.877	-0.348156
3.878	-0.200729
3.879	0.293814
3.88	0.578545
3.881	0.44021
3.882	0.0724266
3.883	-0.314549
3.884	-0.531152
3.885	-0.324882
3.886	0.0279885
3.887	0.0987269
3.888	0.0306143
3.889	0.277576
3.89	0.271385
3.891	0.00794628
3.892	0.0597516
3.893	0.165107
3.894	-0.296306
3.895	-0.681083
3.896	-0.183961
3.897	0.331085
3.898	0.349322
3.899	0.169986
3.9	0.051876
3.901	-0.0368861
3.902	-0.0188749
3.903	0.0428704
3.904	-0.120241
3.905	-0.333418
3.906	-0.132194
3.907	0.187956
3.908	0.302372
3.909	-0.00883841
3.91	-0.247902
3.911	0.0295622
3.912	0.142255
3.913	0.143299
3.914	0.0941412
3.915	-0.134873
3.916	-0.111259
3.917	-0.0330538
3.918	-0.136347
3.919	-0.0817429
3.92	0.0528716
3.921	0.166324
3.922	0.0493975
3.923	-0.0777419
3.924	0.00766925
3.925	0.110919
3.926	0.143965
3.927	0.0372321
3.928	-0.189184
3.929	-0.12571
3.93	0.000896517
3.931	-0.110659
3.932	-0.254231
3.933	-0.00327763
3.934	0.465912
3.935	0.435887
3.936	-0.114174
3.937	-0.336972
3.938	-0.222936
3.939	0.0820485
3.94	0.161515
3.941	-0.0167407
3.942	-0.00275438
3.943	-0.0443343
3.944	-0.210342
3.945	-0.175888
3.946	0.315139
3.947	0.47208
3.948	-0.138654
3.949	-0.243563
3.95	-0.0308742
3.951	-0.047598
3.952	-0.0539168
3.953	0.0250607
