Time	Lead II
11.59	-0.00334455
11.6	-0.0400395
11.61	-0.0427087
11.62	-0.0307315
11.63	-0.0326806
11.64	0.00475109
11.65	0.0462509
11.66	0.0553212
11.67	0.0610556
11.68	0.0766999
11.69	0.0797389
11.7	0.033447
11.71	0.0459563
11.72	0.0802926
11.73	0.0809053
11.74	0.143116
11.75	0.180379
11.76	0.262985
11.77	0.353259
11.78	0.379336
11.79	0.375248
11.8	0.306878
11.81	0.275557
11.82	0.275538
11.83	0.241012
11.84	0.248587
11.85	0.155152
11.86	0.0933615
11.87	0.111123
11.88	0.0984837
11.89	0.130519
11.9	0.139217
11.91	0.137197
11.92	0.156107
11.93	0.182007
11.94	0.168876
11.95	0.0599081
11.96	-0.0535854
11.97	-0.128605
11.98	-0.22269
11.99	-0.269058
12	-0.319396
12.01	-0.345357
12.02	-0.217313
12.03	0.174703
12.04	0.649984
12.05	0.55656
12.06	0.107767
12.07	-0.218414
12.08	-0.322058
12.09	-0.355208
12.1	-0.403814
12.11	-0.401733
12.12	-0.349168
12.13	-0.32418
12.14	-0.27077
12.15	-0.266303
12.16	-0.226001
12.17	-0.177833
12.18	-0.200248
12.19	-0.159558
12.2	-0.176742
12.21	-0.148615
12.22	-0.0808078
12.23	-0.00643984
12.24	0.160011
12.25	0.223169
12.26	0.248945
12.27	0.302514
12.28	0.294742
12.29	0.26597
12.3	0.208555
12.31	0.189882
12.32	0.166574
12.33	0.0767945
12.34	0.0534061
12.35	0.0813394
12.36	0.10689
12.37	0.126075
12.38	0.175143
12.39	0.262599
12.4	0.213719
12.41	0.124462
12.42	0.0699214
12.43	0.0155353
12.44	-0.00318868
12.45	-0.0418706
12.46	-0.0552042
12.47	-0.109457
12.48	-0.0394623
12.49	0.367866
12.5	0.883334
12.51	0.902591
12.52	0.488018
12.53	0.122164
12.54	-0.0225578
12.55	-0.137356
12.56	-0.178326
12.57	-0.182437
12.58	-0.182787
12.59	-0.141745
12.6	-0.168462
12.61	-0.181459
12.62	-0.187291
12.63	-0.227074
12.64	-0.238615
12.65	-0.20743
12.66	-0.181931
12.67	-0.187823
12.68	-0.196124
12.69	-0.148561
12.7	-0.117029
12.71	-0.0192969
12.72	0.0573579
12.73	0.0381591
12.74	0.0236612
12.75	-0.0337724
12.76	-0.0551022
12.77	-0.0960026
12.78	-0.13461
12.79	-0.122322
12.8	-0.143963
12.81	-0.121262
12.82	-0.0885408
12.83	-0.0557311
12.84	0.0504125
12.85	0.077172
12.86	0.0554815
12.87	0.0304906
12.88	-0.0242372
12.89	-0.0573946
12.9	-0.119694
12.91	-0.18761
12.92	-0.207969
12.93	-0.219417
12.94	-0.0794585
12.95	0.378813
12.96	0.856147
12.97	0.757975
12.98	0.26845
12.99	-0.0713837
13	-0.186991
13.01	-0.205288
13.02	-0.180979
13.03	-0.198045
13.04	-0.176944
13.05	-0.183481
13.06	-0.125019
13.07	-0.114967
13.08	-0.138368
13.09	-0.0606405
13.1	-0.0565798
13.11	-0.0382462
13.12	0.0546145
13.13	0.0431336
13.14	0.0564141
13.15	0.106515
13.16	0.15876
13.17	0.206569
13.18	0.236044
13.19	0.234858
13.2	0.185954
13.21	0.180612
13.22	0.167254
13.23	0.0920413
13.24	0.0284378
13.25	-0.0608361
13.26	-0.0501289
13.27	0.00841226
13.28	0.0066545
13.29	0.0325262
13.3	0.0572764
13.31	0.134472
13.32	0.0932843
13.33	-0.0166313
13.34	-0.0613842
13.35	-0.118067
13.36	-0.174342
13.37	-0.233301
13.38	-0.295299
13.39	-0.321929
13.4	-0.228591
13.41	0.186338
13.42	0.698082
13.43	0.684402
13.44	0.288524
13.45	-0.0897949
13.46	-0.258451
13.47	-0.307111
13.48	-0.30948
13.49	-0.280414
13.5	-0.276342
13.51	-0.23521
13.52	-0.219705
13.53	-0.235723
13.54	-0.190076
13.55	-0.151326
13.56	-0.122976
13.57	-0.124301
13.58	-0.123023
13.59	-0.0572069
13.6	-0.0205956
13.61	0.0457081
13.62	0.0963329
13.63	0.172623
13.64	0.255236
13.65	0.228155
13.66	0.228404
13.67	0.199555
13.68	0.160855
13.69	0.164308
13.7	0.0952274
13.71	0.0594007
13.72	0.0521115
13.73	0.0492254
13.74	0.080153
13.75	0.0797728
13.76	0.0694155
13.77	0.088133
13.78	0.152245
13.79	0.245419
13.8	0.220115
13.81	0.144331
13.82	0.0165085
13.83	-0.086047
13.84	-0.0976307
13.85	-0.134464
13.86	-0.141444
13.87	-0.172935
13.88	-0.123543
13.89	0.251643
13.9	0.748089
13.91	0.785857
13.92	0.367386
13.93	-0.00943795
13.94	-0.153358
13.95	-0.236609
13.96	-0.239747
13.97	-0.237968
13.98	-0.253155
13.99	-0.232802
14	-0.238303
14.01	-0.21206
14.02	-0.196043
14.03	-0.24269
14.04	-0.202207
14.05	-0.136513
14.06	-0.116844
14.07	-0.108473
14.08	-0.116682
14.09	-0.0772864
14.1	-0.0441075
14.11	0.0412856
14.12	0.115582
14.13	0.159708
14.14	0.189182
14.15	0.131829
14.16	0.0760393
14.17	0.0310705
14.18	-0.00696399
14.19	0.00142894
14.2	-0.0668404
14.21	-0.0870241
14.22	-0.0762315
14.23	-0.0942111
14.24	-0.0491696
14.25	-0.0454641
14.26	-0.0278311
14.27	0.0480367
14.28	0.109522
14.29	0.174846
14.3	0.142729
14.31	0.0315973
14.32	-0.0571195
14.33	-0.113801
14.34	-0.10817
14.35	-0.153451
14.36	-0.167113
14.37	-0.118591
14.38	0.115043
14.39	0.634769
14.4	0.877591
14.41	0.592219
14.42	0.153755
14.43	-0.121117
14.44	-0.16302
14.45	-0.183753
14.46	-0.170027
14.47	-0.142057
14.48	-0.153944
14.49	-0.140328
14.5	-0.124329
14.51	-0.0758258
14.52	-0.0387594
14.53	-0.0633112
14.54	-0.054492
14.55	-0.0869058
14.56	-0.0688291
14.57	0.0080546
14.58	0.0337872
14.59	0.0562139
14.6	0.0554987
14.61	0.116687
14.62	0.172639
14.63	0.187414
14.64	0.192705
14.65	0.143378
14.66	0.105275
14.67	0.0685171
14.68	0.0112759
14.69	-0.0249574
14.7	-0.0953245
14.71	-0.101132
14.72	-0.10322
14.73	-0.145458
14.74	-0.124178
14.75	-0.117155
14.76	-0.0821645
14.77	-0.0390812
14.78	-0.0190612
14.79	0.0639542
14.8	0.062012
14.81	0.000838882
14.82	-0.113389
14.83	-0.196693
14.84	-0.204617
14.85	-0.247317
14.86	-0.254652
14.87	-0.279773
14.88	-0.178013
14.89	0.260535
14.9	0.772525
14.91	0.730199
14.92	0.246958
14.93	-0.124796
14.94	-0.208149
14.95	-0.24463
14.96	-0.238981
14.97	-0.231184
14.98	-0.223039
14.99	-0.181673
15	-0.184288
15.01	-0.152754
15.02	-0.12321
15.03	-0.0920105
15.04	-0.0526524
15.05	-0.0636304
15.06	0.00606153
